Locus_Tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAOUHSC_00624	2427.67171358075	0.333034219034846	0.363886899290877	0.91521354487849	0.360079535269001	0.454350701999217
SAOUHSC_00625	12107.2290019052	-0.381170669526269	0.237557272689921	-1.60454220243471	0.108594589779826	0.167535865984566
SAOUHSC_00626	2067.27695304302	-0.64748276493467	0.260427643984067	-2.486229015589	0.0129104852599269	0.0262599079344559
SAOUHSC_00627	1420.31351950746	-0.822289489743485	0.308318548603648	-2.66701271612614	0.00765287762373544	0.0163641951985392
SAOUHSC_00628	8643.36202214517	-0.883194588635653	0.325155285246524	-2.71622399730037	0.0066031226000131	0.0142971390130116
SAOUHSC_00629	1014.55650195422	-1.22824588362556	0.269826842484001	-4.55197812166662	5.31438631723532e-06	2.33256637081844e-05
SAOUHSC_00630	37.5912143793386	0.112528971228249	0.361295003724915	0.311460081285616	0.755450885222715	0.814655500052082
SAOUHSC_00632	4221.2698579456	-0.569032950756137	0.226355897853603	-2.51388612424919	0.0119408983535496	0.0244686167304307
SAOUHSC_00633	8351.04748980144	-0.0684062837698316	0.282543060647315	-0.242109233237265	0.808695523919614	0.851816409800781
SAOUHSC_00634	17013.1752438763	0.946574742815305	0.266222939739644	3.55557167140074	0.000377158108623529	0.00111366857825317
SAOUHSC_00636	7227.67712156084	0.835110037882146	0.464730472455919	1.79697714563221	0.0723392480699269	0.118146949963465
SAOUHSC_00637	8727.4086154857	-0.532229141826454	0.268759213313032	-1.98031961496535	0.0476676260991737	0.0824003184829938
SAOUHSC_00638	4410.64671334034	0.781459024447771	0.224357568829513	3.48309632933131	0.000495649983130106	0.00142680831963813
SAOUHSC_00639	1591.91163213245	1.37134494953312	0.306190921118085	4.47872505339325	7.50901764482018e-06	3.17431897980724e-05
SAOUHSC_00640	1215.15209415797	-0.794496048290415	0.218886657049953	-3.62971438733745	0.000283734992474298	0.000866635626292195
SAOUHSC_00641	6150.27278746441	0.519951240269807	0.258787591764614	2.00918149407542	0.0445178895523115	0.0776875282485486
SAOUHSC_00642	5344.93459563156	0.990978863183139	0.522057155252273	1.89821909960083	0.0576672258202555	0.0970050155607231
